exp,date,jobdate,metadata1,imageid,filename,frame,parameter,roi,frame_avg,yii_avg,npq_avg,yii_std,npq_std,obj_in_frame,unique_roi,gtype
exp1,2019-04-23,2019-04-23,1,23,data/pimframes/exp1-20190423-1-23.tif,Fp,Y9_ALon,3,15.1553,2.5582,1.7039,18.3766,1.1852,True,True,triple
exp1,2019-04-23,2019-04-23,1,24,data/pimframes/exp1-20190423-1-24.tif,Fmp,Y9_ALon,0,19.7254,2.5603,1.7038,18.3834,1.1851,True,True,WT
exp1,2019-04-23,2019-04-23,1,24,data/pimframes/exp1-20190423-1-24.tif,Fmp,Y9_ALon,1,19.7178,2.5668,1.7033,18.3992,1.1852,True,True,kead1
exp1,2019-04-23,2019-04-23,1,24,data/pimframes/exp1-20190423-1-24.tif,Fmp,Y9_ALon,2,19.6218,2.8451,1.7133,19.7770,1.2217,True,True,gun1
exp1,2019-04-23,2019-04-23,1,24,data/pimframes/exp1-20190423-1-24.tif,Fmp,Y9_ALon,3,19.7273,2.5582,1.7039,18.3766,1.1852,True,True,triple
exp2,2019-04-23,2019-04-23,2,1,data/pimframes/exp2-20190423-2-1.tif,Fo,FvFm,0,11.2613,1.1320,0.0000,9.1171,0.0000,True,True,WT
exp2,2019-04-23,2019-04-23,2,1,data/pimframes/exp2-20190423-2-1.tif,Fo,FvFm,1,27.6247,1.1346,0.0000,9.3463,0.0000,True,True,kead1
exp2,2019-04-23,2019-04-23,2,1,data/pimframes/exp2-20190423-2-1.tif,Fo,FvFm,2,11.9354,1.1479,0.0000,9.2087,0.0000,True,True,gun1
exp2,2019-04-23,2019-04-23,2,1,data/pimframes/exp2-20190423-2-1.tif,Fo,FvFm,3,12.0557,1.1105,0.0000,7.2086,0.0000,True,True,triple
exp2,2019-04-23,2019-04-23,2,2,data/pimframes/exp2-20190423-2-2.tif,Fm,FvFm,0,48.0709,1.1320,0.0000,9.1171,0.0000,True,True,WT
exp2,2019-04-23,2019-04-23,2,2,data/pimframes/exp2-20190423-2-2.tif,Fm,FvFm,1,54.7822,1.1346,0.0000,9.3463,0.0000,True,True,kead1
exp2,2019-04-23,2019-04-23,2,2,data/pimframes/exp2-20190423-2-2.tif,Fm,FvFm,2,48.2820,1.1479,0.0000,9.2087,0.0000,True,True,gun1
exp2,2019-04-23,2019-04-23,2,2,data/pimframes/exp2-20190423-2-2.tif,Fm,FvFm,3,48.5949,1.1105,0.0000,7.2086,0.0000,True,True,triple
exp2,2019-04-23,2019-04-23,2,7,data/pimframes/exp2-20190423-2-7.tif,Fp,Y1_ALon,0,47.0490,5.3262,0.0448,20.0280,0.2443,True,True,WT
exp2,2019-04-23,2019-04-23,2,7,data/pimframes/exp2-20190423-2-7.tif,Fp,Y1_ALon,1,54.8423,6.7021,0.0710,20.9342,0.3670,True,True,kead1
exp2,2019-04-23,2019-04-23,2,7,data/pimframes/exp2-20190423-2-7.tif,Fp,Y1_ALon,2,47.3720,5.5074,0.0441,20.4814,0.2465,True,True,gun1
exp2,2019-04-23,2019-04-23,2,7,data/pimframes/exp2-20190423-2-7.tif,Fp,Y1_ALon,3,48.0187,5.5423,0.0377,20.1545,0.2356,True,True,triple
exp2,2019-04-23,2019-04-23,2,8,data/pimframes/exp2-20190423-2-8.tif,Fmp,Y1_ALon,0,46.4423,5.3262,0.0448,20.0280,0.2443,True,True,WT
exp2,2019-04-23,2019-04-23,2,8,data/pimframes/exp2-20190423-2-8.tif,Fmp,Y1_ALon,1,53.2570,6.7021,0.0710,20.9342,0.3670,True,True,kead1
exp2,2019-04-23,2019-04-23,2,8,data/pimframes/exp2-20190423-2-8.tif,Fmp,Y1_ALon,2,46.6868,5.5074,0.0441,20.4814,0.2465,True,True,gun1
exp2,2019-04-23,2019-04-23,2,8,data/pimframes/exp2-20190423-2-8.tif,Fmp,Y1_ALon,3,47.2536,5.5423,0.0377,20.1545,0.2356,True,True,triple
exp2,2019-04-23,2019-04-23,2,9,data/pimframes/exp2-20190423-2-9.tif,Fp,Y2_ALon,0,26.9200,4.9656,0.7471,21.3983,0.4580,True,True,WT
exp2,2019-04-23,2019-04-23,2,9,data/pimframes/exp2-20190423-2-9.tif,Fp,Y2_ALon,1,24.4939,9.4424,1.2442,28.3979,0.6993,True,True,kead1
exp2,2019-04-23,2019-04-23,2,9,data/pimframes/exp2-20190423-2-9.tif,Fp,Y2_ALon,2,26.7450,5.1789,0.7725,21.6952,0.4854,True,True,gun1
exp2,2019-04-23,2019-04-23,2,9,data/pimframes/exp2-20190423-2-9.tif,Fp,Y2_ALon,3,29.7347,5.2892,0.6234,18.8552,0.3890,True,True,triple
exp2,2019-04-23,2019-04-23,2,10,data/pimframes/exp2-20190423-2-10.tif,Fmp,Y2_ALon,0,28.0015,4.9656,0.7471,21.3983,0.4580,True,True,WT
